spikes,freqs,amps,rep
1.56666666663341,4000,40,1
21.6333333333409,5656.85,40,1
26.8666666666491,11313.7,40,1
36.3666666666518,11313.7,40,1
16.6666666667084,22627.4,40,1
1.43333333329565,1000,55,1
21.3333333333026,1414.21,55,1
29.0999999999144,1414.21,55,1
22.3000000000297,22627.4,55,1
9.76666666667825,-1,70,1
23.8000000000511,5656.85,70,1
19.4666666665739,11313.7,70,1
28.5666666666771,1414.21,40,2
-4.46666666670126,2828.43,40,2
17.2666666666714,4000,40,2
37.1333333333155,4000,40,2
-6.56666666662886,5656.85,40,2
9.63333333334049,16000,40,2
22.4999999999795,-1,55,2
26.8333333332862,-1,55,2
1.43333333329565,1000,55,2
8.23333333329401,1000,55,2
35.4000000000383,5656.85,55,2
9.73333333325854,64000,55,2
-1.0000000000332,1414.21,70,2
-7.83333333333758,4000,70,2
-9.73333333337223,22627.4,70,2
-10.6666666666229,2000,40,3
32.066666666708,5656.85,40,3
33.1000000000472,5656.85,40,3
10.8666666666863,-1,55,3
3.43333333336204,8000,55,3
-9.73333333337223,16000,55,3
-5.96666666666579,16000,55,3
-10.1999999999975,32000,55,3
9.29999999999609,45254.8,55,3
-7.93333333336932,1000,70,3
22.4666666667304,45254.8,70,3
15.8666666665681,1414.21,40,4
27.033333333236,2000,40,4
-10.2333333333604,8000,40,4
-1.56666666663341,16000,40,4
16.7333333333204,16000,40,4
8.89999999998281,22627.4,40,4
-3.63333333331184,32000,40,4
5.26666666672782,1414.21,55,4
26.0333333333733,2828.43,55,4
10.7666666665978,8000,55,4
12.5666666667144,22627.4,55,4
10.1999999999975,1414.21,70,4
27.5333333333379,1414.21,70,4
-10.1000000000226,2828.43,70,4
-2.80000000003611,5656.85,70,4
3.0999999999608,5656.85,70,4
4.23333333327491,16000,70,4
-10.0000000000477,1000,40,5
9.76666666673509,4000,40,5
37.0333333333406,16000,40,5
-11.5999999999872,45254.8,40,5
19.4666666666876,-1,55,5
30.1000000000045,-1,55,5
33.0333333333215,-1,55,5
15.4333333333057,1000,55,5
10.1999999999975,5656.85,55,5
28.6000000000399,5656.85,55,5
37.2666666666532,8000,55,5
1.93333333339751,11313.7,55,5
7.56666666660522,16000,55,5
37.1333333333155,16000,55,5
-7.6666666666938,64000,55,5
30.2333333333422,-1,70,5
-0.866666666695437,4000,70,5
3.53333333333694,45254.8,70,5
0.833333333332575,1000,40,6
14.5333333331905,2828.43,40,6
34.7666666665987,16000,40,6
35.2000000000885,64000,40,6
-7.39999999990459,4000,55,6
16.3333333334208,4000,55,6
5.83333333344171,32000,55,6
-9.79999999998427,64000,55,6
9.03333333320688,1000,70,6
-12.2666666665623,2828.43,70,6
11.4333333334002,5656.85,70,6
32.7000000000339,8000,70,6
19.8666666668146,16000,70,6
9.23333333338405,32000,70,6
17.5999999998453,45254.8,70,6
7.03333333336786,2828.43,40,7
11.099999999999,2828.43,40,7
-11.6999999998484,4000,40,7
12.0000000001141,11313.7,40,7
22.4666666667304,64000,40,7
10.0000000000477,4000,55,7
15.3666666666936,11313.7,55,7
29.7666666667169,11313.7,55,7
8.76666666664505,32000,55,7
15.7999999999561,45254.8,55,7
-8.43333333347118,64000,55,7
1.29999999995789,64000,55,7
6.13333333325272,16000,70,7
32.2666666666578,16000,70,7
-3.99999999996226,22627.4,70,7
13.0666666667025,22627.4,70,7
24.5000000000459,22627.4,70,7
-5.66666666674109,32000,70,7
-3.20000000004939,32000,70,7
-8.16666666656829,-1,40,8
-3.96666666659939,11313.7,40,8
30.6333333334692,11313.7,40,8
-10.0333333334106,32000,40,8
17.8999999999974,16000,55,8
33.9333333333229,16000,55,8
-8.06666666659339,32000,55,8
32.9333333334603,45254.8,55,8
28.4333333333393,11313.7,70,8
2.66666666681203,1414.21,40,9
-3.73333333340042,2828.43,40,9
20.599999999888,8000,55,9
24.3666666667082,32000,55,9
36.8333333333908,-1,70,9
9.13333333340915,1000,70,9
36.700000000053,1000,70,9
21.2333333333277,5656.85,70,9
36.3333333332889,11313.7,70,9
-7.466666666744,32000,70,9
21.3333333333026,2000,40,10
17.9666666667231,-1,55,10
0.799999999856027,8000,70,10
31.4666666666312,11313.7,70,10
14.5666666666671,16000,40,11
6.43333333340479,32000,40,11
34.0000000000487,-1,55,11
-5.09999999991351,1000,55,11
30.0666666666416,1414.21,70,11
13.7666666666405,16000,70,11
22.5666666667053,22627.4,70,11
-7.49999999999318,-1,40,12
19.766666666726,16000,40,12
35.7666666666887,5656.85,55,12
21.0000000000719,22627.4,40,13
17.9333333332465,4000,55,13
34.1333333332159,8000,55,13
33.3999999998582,16000,55,13
9.56666666672845,64000,70,13
14.1999999999598,64000,70,13
-8.96666666665169,1000,40,14
14.533333333361,64000,40,14
35.0999999999431,11313.7,55,14
32.4333333331879,16000,55,14
34.3999999998914,16000,55,14
-0.533333333464725,5656.85,70,14
29.1666666666401,11313.7,70,14
32.5333333333901,2828.43,40,15
-5.09999999997035,64000,40,15
2.7666666666164,64000,40,15
33.6666666665906,1000,55,15
9.59999999997763,5656.85,70,15
27.2333333333563,16000,70,15
30.0000000000864,45254.8,70,15
12.6000000001341,-1,40,16
10.900000000106,1000,40,16
30.6333333334123,16000,40,16
-12.3333333332312,32000,40,16
30.4333333334625,-1,55,16
21.2000000000216,1414.21,55,16
-5.30000000014752,2000,55,16
1.23333333328901,5656.85,55,16
27.0333333334065,8000,55,16
24.6333333335542,-1,70,16
33.1000000002177,-1,70,16
18.9333333333934,2828.43,70,16
-2.63333333339233,4000,70,16
24.0333333334775,11313.7,70,16
9.50000000000273,45254.8,70,16
33.3666666666659,-1,40,17
29.2666666667856,2828.43,40,17
-6.60000000004857,11313.7,40,17
-11.533333333432,22627.4,40,17
18.3666666665658,64000,55,17
13.3333333334349,5656.85,70,17
10.4000000000042,45254.8,70,17
14.9666666667372,45254.8,70,17
26.0333333334302,5656.85,40,18
-8.73333333322535,2828.43,55,18
28.1999999998561,45254.8,55,18
9.83333333340397,64000,55,18
-3.53333333316641,1000,70,18
6.70000000025084,1414.21,70,18
7.56666666677575,5656.85,40,19
34.8000000002457,5656.85,40,19
30.6000000001632,-1,70,19
35.4999999998427,16000,70,19
30.5333333332101,64000,70,19
17.8999999999405,2828.43,55,20
23.5333333333756,2828.43,55,20
23.5333333333756,22627.4,55,20
-8.50000000002638,1414.21,70,20
-4.099999999994,1414.21,70,20
24.4666666668536,32000,70,20
10.5333333334556,45254.8,40,21
32.8666666667914,-1,55,21
20.0333333333447,1414.21,55,21
4.23333333344544,45254.8,55,21
25.8999999999787,-1,70,21
27.2666666666055,-1,70,21
4.53333333337014,2000,70,21
3.00000000004275,5656.85,70,21
-7.89999999994961,2828.43,40,22
14.3999999999096,2828.43,40,22
29.2666666665582,5656.85,40,22
5.40000000012242,45254.8,40,22
33.8333333332912,1000,55,22
5.59999999984484,4000,55,22
34.4999999998663,4000,55,22
35.3333333333694,-1,70,22
5.63333333332139,16000,70,22
19.0333333333683,16000,70,22
36.133333333396,45254.8,70,22
-4.66666666659421,64000,70,22
34.3333333333931,1000,40,23
22.4666666666735,1414.21,40,23
22.2999999999729,16000,40,23
-11.766666666631,32000,40,23
-7.69999999977244,32000,40,23
-0.399999999785905,32000,40,23
26.3999999998532,64000,40,23
-0.5666666667139,8000,55,23
23.0999999999995,8000,55,23
-6.60000000004857,45254.8,55,23
-0.166666666586934,45254.8,55,23
-7.46666666657347,1000,70,23
27.4333333333061,1000,70,23
31.2666666667383,8000,70,23
13.6000000001104,11313.7,70,23
11.9666666668081,1414.21,40,24
30.5666666666866,8000,40,24
7.10000000015043,64000,40,24
2.96666666679357,1414.21,55,24
22.7333333335764,32000,55,24
-11.6999999999052,2828.43,70,24
32.7000000000908,4000,70,24
17.9666666666662,5656.85,70,24
11.7000000001326,2828.43,40,25
4.80000000004566,16000,40,25
13.4000000001606,-1,55,25
11.3000000000056,1414.21,55,25
29.0666666666084,5656.85,55,25
14.7666666667874,1000,70,25
-8.43333333330065,2828.43,70,25
24.0666666667266,4000,70,25
-8.3999999998241,32000,70,25
